month,year,month_year,not_mortgaged_second+_sale_ist,not_mortgaged_first_sale_ist,mortgaged_first_sale_ist,mortgaged_second+_sale_ist,const_perm_res_2+dwelling_num_of_units_public,const_perm_res_2+dwelling_num_of_units_coop,const_perm_res_2+dwelling_num_of_units_private,const_perm_res_1_dwelling_num_of_units_public,const_perm_res_1_dwelling_num_of_units_coop,const_perm_res_1_dwelling_num_of_units_private,Inflation_monthly_%,Inflation_yearly_%,avg_mortgage_interest_rate,cb_key_interest_rate,exchange_rate_usd-try,exchange_rate_rub-try,exchange_rate_irr-try,exchange_rate_iqd-try,export_1000usd,import_1000usd,net_min_wage_TRY,gross_min_wage_TRY,inflation_google_trend_ist,usd_exc_rate_google_trend_ist,real_estate_in_Turkey__Russia_google_trends,Turkish_citizenship__Russia__google_trends,Living_in_Turkey__Russia__google_trends,Buying_a_house_in_Türkiye__Iran__google_trends,Turkish_citizenship__Iran__google_trends,Investmen_migration__Iran__google_trends,Living_in_Turkey__Iran__google_trends,Life_in_Turkey__Iraq__google_trends,Turkish_citizenship__Iraq__google_trends,foreign_res_prop_sales_turkiye,res_price_index_ist
01,2013,2013-01,5580,4232,4066,4357,1128,836,41091,7,43,1348,1.65,7.31,9.78,7.17,1.764,0.0578,0.014266,0.001522,12263324.26,19564482.49,773.01,978.6,16,1,49,0,0,12,100,43,14,0,0,,47.8
02,2013,2013-02,6053,4082,4195,4641,3327,258,45492,100,4,1326,0.30,7.03,9.58,6.87,1.770,0.0583,0.014334,0.001526,13155175.59,20345696.27,773.01,978.6,9,1,30,54,20,43,0,60,20,0,0,,48.8
03,2013,2013-03,6606,4800,4742,5422,7692,2214,55546,6,344,1480,0.66,7.29,9.31,6.55,1.807,0.0584,0.014658,0.001559,14066303.61,21322812,773.01,978.6,8,1,47,0,20,60,0,29,16,57,0,,49.9
04,2013,2013-04,6729,4336,4415,5311,8769,1555,62034,62,11,1866,0.42,6.13,9.06,6.41,1.796,0.0571,0.014571,0.001550,13450014.59,23688344.8,773.01,978.6,8,1,35,0,0,37,0,41,54,49,98,,50.9
05,2013,2013-05,6749,4476,4895,5910,7832,1694,82849,11,23,2196,0.15,6.51,8.77,5.95,1.823,0.0579,0.014785,0.001579,14141542.93,23838797.46,773.01,978.6,9,1,40,0,0,12,0,0,37,40,36,,51.6
06,2013,2013-06,5926,3669,4491,5271,9129,1416,64188,70,11,1697,0.76,8.30,8.30,6.14,1.895,0.0583,0.015365,0.001636,13053396.67,21694291.37,773.01,978.6,8,2,34,0,59,12,0,41,24,0,0,,52.4
07,2013,2013-07,6391,4206,4828,5243,3683,1751,66434,1,28,2018,0.31,8.88,8.91,6.95,1.930,0.0586,0.009816,0.001662,13804867.16,23981807.87,803.68,1021.5,9,1,48,34,22,0,29,100,34,56,54,,52.9
08,2013,2013-08,4446,3650,3310,3524,7057,811,49161,16,4,1300,-0.10,8.17,9.78,7.56,1.955,0.0589,0.007839,0.001683,11859734.32,19104383.08,803.68,1021.5,7,1,36,0,49,0,30,56,35,31,51,,53.5
09,2013,2013-09,6219,4142,3986,4167,3659,1335,60132,178,162,1988,0.77,7.88,10.73,7.99,2.017,0.0614,0.008093,0.001735,13824599.43,21328134.4,803.68,1021.5,8,1,24,0,18,10,0,29,15,85,0,,54.3
10,2013,2013-10,4981,3617,3120,3148,1984,1702,51165,21,34,1693,1.80,7.71,10.93,7.78,1.990,0.0617,0.007960,0.001712,12846390.34,20443785.39,803.68,1021.5,7,1,39,26,27,0,0,28,30,0,0,,55.0
