month,year,month_year,date_col,exchange_rate_usd-try,istanbul_housing_unit_price_tl/m2,istanbul_wholesale_pi_1968=100,istanbul_cost_of_living_wage_earners__1968=100,net_min_wage_TRY,net_min_wage_USD,70_m2_TRY,70_m2_TRY*30%,save_downpayment_years,istanbul_cost_of_living_st,net_min_wage_st,net_min_wage_st/ist_cost_of_living_st,net_min_wage_st/res_price_index_ist_st,res_price_index_ist,res_price_index_ist_st,exchange_rate_usd-try_st,exchange_rate_usd-try_st/res_price_index_ist_st,foreign_res_prop_sales_turkiye
01,2013,2013-01,2013-01-01,1.764,2063.8,78424516.2,231907894.4,773.01,438.2492933,144466,43339.8,7.01,0.00,0.00,0.00,0.00,47.80,0.00,0.00,0.00,
02,2013,2013-02,2013-02-01,1.770,2113.7,78749796.5,232676422.1,773.01,436.7473198,147959,44387.7,7.18,0.04,0.00,0.00,0.00,48.80,0.12,0.02,0.21,
03,2013,2013-03,2013-03-01,1.807,2157.5,78469282.7,233019804.6,773.01,427.7401709,151025,45307.5,7.33,0.06,0.00,0.00,0.00,49.90,0.24,0.17,0.70,
04,2013,2013-04,2013-04-01,1.796,2186.3,78875995.2,236191757.7,773.01,430.2935119,153041,45912.3,7.42,0.23,0.00,0.00,0.00,50.90,0.36,0.13,0.36,
05,2013,2013-05,2013-05-01,1.823,2217.8,79062986.6,241114373.4,773.01,424.0836286,155246,46573.8,7.53,0.49,0.00,0.00,0.00,51.60,0.44,0.23,0.53,
06,2013,2013-06,2013-06-01,1.895,2262.9,79706322.3,243171568.7,773.01,408.0263498,158403,47520.9,7.68,0.60,0.00,0.00,0.00,52.40,0.54,0.52,0.97,
07,2013,2013-07,2013-07-01,1.930,2299.8,80160745.8,241329628.6,803.68,416.3104067,160986,48295.8,7.51,0.51,0.29,0.57,0.49,52.90,0.59,0.66,1.11,
08,2013,2013-08,2013-08-01,1.955,2319.5,80970908.5,242667143.9,803.68,411.1514995,162365,48709.5,7.58,0.58,0.29,0.50,0.43,53.50,0.66,0.76,1.14,
09,2013,2013-09,2013-09-01,2.017,2346,81214125.5,241421647,803.68,398.4239886,164220,49266,7.66,0.51,0.29,0.57,0.38,54.30,0.76,1.01,1.33,
10,2013,2013-10,2013-10-01,1.990,2393.5,81957912.7,244482378.1,803.68,403.795041,167545,50263.5,7.82,0.67,0.29,0.43,0.34,55.00,0.84,0.90,1.07,
11,2013,2013-11,2013-11-01,2.022,2474.1,83335319.7,244724129.6,803.68,397.5174707,173187,51956.1,8.08,0.69,0.29,0.42,0.29,56.20,0.98,1.02,1.05,
12,2013,2013-12,2013-12-01,2.058,2481.1,84350293.6,246366274.8,803.68,390.5452537,173677,52103.1,8.10,0.78,0.29,0.37,0.28,56.70,1.04,1.17,1.13,
01,2014,2014-01,2014-01-01,2.217,2464.1,86773951.3,249768319.6,846,381.62492,172487,51746.1,7.65,0.96,0.69,0.72,0.63,57.20,1.10,1.80,1.64,1207
02,2014,2014-02,2014-02-01,2.213,2488.8,87179597.2,251751749.4,846,382.3279524,174216,52264.8,7.72,1.06,0.69,0.65,0.58,58.00,1.19,1.78,1.50,1071
03,2014,2014-03,2014-03-01,2.218,2519.1,88421242.9,253295640.5,846,381.4599227,176337,52901.1,7.82,1.15,0.69,0.60,0.53,58.90,1.29,1.80,1.39,1362
04,2014,2014-04,2014-04-01,2.127,2600.4,88559466.3,255535334.4,846,397.6551641,182028,54608.4,8.07,1.27,0.69,0.54,0.47,60.40,1.47,1.44,0.98,1554
