month,year,month_year,date_col,Russia,Iran,Iraq,Total_of_3_country,Overall_total_foreign,3_countries/all_countries_%,Total_sales_antalya,Total_sales_istanbul,Total_sales_izmir,Total_sales_mersin,Total_sales_mugla,Top_5_cities_total_sales,Overall_total_sales_turkey,total_sales_top_5/total_sales_turkey_%,foreign/all_turkey_%,foreign/top_5_cities_%
01,2018,2018-01,2018-01-01,121,102,272,495,1742,28.42,4819,16336,5841,2614,1229,30839,97019,31.79,1.80,5.65
02,2018,2018-02,2018-02-01,128,122,308,558,1792,31.14,4636,16247,5965,2709,1341,30898,95953,32.20,1.87,5.80
03,2018,2018-03,2018-03-01,120,156,348,624,1827,34.15,5398,18714,6787,3134,1541,35574,110905,32.08,1.65,5.14
04,2018,2018-04,2018-04-01,112,138,337,587,2043,28.73,4977,17414,6418,2955,1489,33253,103087,32.26,1.98,6.14
05,2018,2018-05,2018-05-01,165,217,407,789,2415,32.67,5542,20061,7028,3624,1673,37928,119655,31.70,2.02,6.37
06,2018,2018-06,2018-06-01,169,228,315,712,2060,34.56,5335,20547,6888,3345,1716,37831,119413,31.68,1.73,5.45
07,2018,2018-07,2018-07-01,173,321,584,1078,2858,37.72,5423,19503,6322,3475,1638,36361,123878,29.35,2.31,7.86
08,2018,2018-08,2018-08-01,192,394,944,1530,3866,39.58,4575,15262,5064,2745,1474,29120,105154,27.69,3.68,13.28
09,2018,2018-09,2018-09-01,292,538,1351,2181,5615,38.84,5515,20216,6207,3249,1774,36961,127327,29.03,4.41,15.19
10,2018,2018-10,2018-10-01,336,556,1439,2331,6276,37.14,6431,27156,7419,3641,1987,46634,146536,31.82,4.28,13.46
11,2018,2018-11,2018-11-01,261,463,1003,1727,4672,36.96,4407,16058,4773,2312,1154,28704,89626,32.03,5.21,16.28
12,2018,2018-12,2018-12-01,257,435,897,1589,4560,34.85,5882,26541,6960,3386,1617,44386,136845,32.44,3.33,10.27
01,2019,2019-01,2019-01-01,195,305,605,1105,3168,34.88,3581,13455,3795,1878,857,23566,72937,32.31,4.34,13.44
02,2019,2019-02,2019-02-01,236,307,628,1171,3321,35.26,3958,14462,4403,2219,989,26031,78450,33.18,4.23,12.76
03,2019,2019-03,2019-03-01,156,334,548,1038,3129,33.17,5261,19140,6366,3028,1407,35202,105046,33.51,2.98,8.89
04,2019,2019-04,2019-04-01,202,332,533,1067,3720,28.68,4651,17148,5676,2487,1280,31242,96071,32.52,3.87,11.91
05,2019,2019-05,2019-05-01,285,509,594,1388,3925,35.36,5453,17296,5495,2552,1453,32249,91937,35.08,4.27,12.17
06,2019,2019-06,2019-06-01,190,415,429,1034,2689,38.45,3390,10060,3331,1743,906,19430,61355,31.67,4.38,13.84
07,2019,2019-07,2019-07-01,215,464,734,1413,4192,33.71,4698,17276,5576,2621,1429,31600,102236,30.91,4.10,13.27
08,2019,2019-08,2019-08-01,212,469,675,1356,3604,37.62,4814,15881,6025,3066,1595,31381,110538,28.39,3.26,11.48
09,2019,2019-09,2019-09-01,248,489,781,1518,4177,36.34,6506,23265,8830,3769,2010,44380,146903,30.21,2.84,9.41
10,2019,2019-10,2019-10-01,292,536,597,1425,4272,33.36,6653,24451,9012,3422,1943,45481,142810,31.85,2.99,9.39
11,2019,2019-11,2019-11-01,300,500,575,1375,3988,34.48,6759,24924,8428,3354,2007,45472,138372,32.86,2.88,8.77
12,2019,2019-12,2019-12-01,362,763,897,2022,5298,38.17,9534,40317,12284,5285,2608,70028,202074,34.65,2.62,7.57
