year,date_col,Total_sales_to_foreigners,Total_sales,Total_sales_to_foreigners/Total_sales_%,Total_sales_antalya,Total_sales_istanbul,Total_sales_izmir,Total_sales_mersin,Total_sales_mugla,Top_5_cities_total_sales,Top_5_cities_total_sales/Total_sales_%,Total_sales_to_foreigners/Top_5_cities_total_sales_%
2014,2014-01-01,18959,1165381,1.6,62227,225454,71779,31204,16061,406725,34.90,4.66
2015,2015-01-01,22830,1289320,1.8,64396,239767,77796,35632,17016,434607,33.71,5.25
2016,2016-01-01,18189,1341453,1.4,60608,232428,81316,34904,17486,426742,31.81,4.26
2017,2017-01-01,22234,1409314,1.6,60273,238383,84184,36540,18618,437998,31.08,5.08
2018,2018-01-01,39726,1375398,2.9,62940,234055,75672,37189,18633,428489,31.15,9.27
2019,2019-01-01,45483,1348729,3.4,65258,237675,79221,35424,18484,436062,32.33,10.43
2020,2020-01-01,40812,1499316,2.7,63898,265098,93457,43496,22243,488192,32.56,8.36
2021,2021-01-01,58577,1491856,3.9,66691,276223,86722,41533,23099,494268,33.13,11.85
2022,2022-01-01,67490,1485622,4.5,80459,259654,83502,40244,21789,485648,32.69,13.90
2023,2023-01-01,30599,993835,3.1,52914,159838,53194,27773,15292,309011,31.09,9.90
